APC,Prov_State,OutptSvcs,AvgEstSubChg,AvgTotPay
0019 - Level I Excision/ Biopsy,WA,675,900.72,374.38
0019 - Level I Excision/ Biopsy,WI,1010,953.88,349.1
0019 - Level I Excision/ Biopsy,WV,189,2363.11,296.04
0020 - Level II Excision/ Biopsy,AK,58,5876.59,979.43
0020 - Level II Excision/ Biopsy,AL,1757,6552.08,703.45
0020 - Level II Excision/ Biopsy,AR,722,4582.63,718.73
0020 - Level II Excision/ Biopsy,AZ,1425,8023.14,817.27
0020 - Level II Excision/ Biopsy,CA,5204,7307.9,983.58
0020 - Level II Excision/ Biopsy,CO,829,6847.66,785.08
0020 - Level II Excision/ Biopsy,CT,909,4617.75,923.47
0020 - Level II Excision/ Biopsy,DC,153,7611.62,801.48
0020 - Level II Excision/ Biopsy,DE,193,3528.79,817.28
0020 - Level II Excision/ Biopsy,FL,2989,8007.97,757.69
0020 - Level II Excision/ Biopsy,GA,1786,6343.52,746.18
0020 - Level II Excision/ Biopsy,HI,130,5694.67,902.13
0020 - Level II Excision/ Biopsy,IA,581,4093.82,755.5
0020 - Level II Excision/ Biopsy,ID,459,2964.21,760.75
0020 - Level II Excision/ Biopsy,IL,2394,5580.14,792.48
0020 - Level II Excision/ Biopsy,IN,1874,6043.15,780.97
0020 - Level II Excision/ Biopsy,KS,760,6576.82,746.77
0020 - Level II Excision/ Biopsy,KY,1336,5812.68,723.53
0020 - Level II Excision/ Biopsy,LA,1430,5582.85,694.62
0020 - Level II Excision/ Biopsy,MA,2161,3068.15,962.69
0020 - Level II Excision/ Biopsy,ME,731,2885.21,790.24
0020 - Level II Excision/ Biopsy,MI,3291,3485.92,787.14
0020 - Level II Excision/ Biopsy,MN,2339,2813.29,836.57
0020 - Level II Excision/ Biopsy,MO,1757,5687.45,749.01
0020 - Level II Excision/ Biopsy,MS,875,5619.68,699.78
0020 - Level II Excision/ Biopsy,MT,388,2520.55,812.87
0020 - Level II Excision/ Biopsy,NC,2117,4083,736.66
0020 - Level II Excision/ Biopsy,ND,564,2779.73,820.36
0020 - Level II Excision/ Biopsy,NE,670,4682.77,784.15
0020 - Level II Excision/ Biopsy,NH,584,3321.05,890.25
0020 - Level II Excision/ Biopsy,NJ,1581,6389.86,913
0020 - Level II Excision/ Biopsy,NM,339,6515.71,757.4
0020 - Level II Excision/ Biopsy,NV,332,7020.96,853.79
0020 - Level II Excision/ Biopsy,NY,3268,4460.12,856.64
0020 - Level II Excision/ Biopsy,OH,2996,4598.6,744.72
0020 - Level II Excision/ Biopsy,OK,1102,5807.68,720.28
0020 - Level II Excision/ Biopsy,OR,593,4575.84,921.85
0020 - Level II Excision/ Biopsy,PA,3017,6994.76,778.2
0020 - Level II Excision/ Biopsy,RI,299,3032.05,888.58
0020 - Level II Excision/ Biopsy,SC,1159,6489.53,729.3
0020 - Level II Excision/ Biopsy,SD,579,4093.71,801.16
0020 - Level II Excision/ Biopsy,TN,1639,5415.44,717.49
0020 - Level II Excision/ Biopsy,TX,3461,8195.8,740.96
0020 - Level II Excision/ Biopsy,UT,543,3106.76,767.68
0020 - Level II Excision/ Biopsy,VA,2025,6059.98,748.36
0020 - Level II Excision/ Biopsy,VT,252,2165.69,834.78
0020 - Level II Excision/ Biopsy,WA,1807,4461.13,863.64
0020 - Level II Excision/ Biopsy,WI,1866,3764.4,797.98
0020 - Level II Excision/ Biopsy,WV,896,3745.27,695.32
